trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-180.8249479184277,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-120.86088326381198,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-111.48902346215584,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-50.44743108951963,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,0,-205.17689527809222,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-115.09311395007548,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,1,-114.39338365733873,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-91.36313800748428,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-55.312585561900136,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-105.15316090658877,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,5,-124.16483258835883,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-203.04898178209214,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",35,0,-233.3507873610835,"{0: 16, 1: 8, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-115.41758305701691,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-190.89056682005128,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-225.37468018365934,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",30,0,-210.61908760940577,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-148.24497074519573,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-124.22140904401985,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-97.82690535928,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-51.438599493160964,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-66.09487824735125,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-34.54765747888173,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-50.17756861591078,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-92.07648578313614,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-75.73751787800806,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,0,-84.90290954278811,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-179.75219163210897,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
29,False,"{'a': 0.01, 'e': 0.7557837414557255}",30,1,-155.3050327685859,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 3}",1
30,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-12.507922955227277,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7408182206817179}",30,0,-49.181806857406436,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-3.136228967510312,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.7261490370736909}",30,0,-117.27117159343197,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.7189237334319262}",20,0,-76.76824535769092,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.7117703227626097}",30,0,-128.11104322950524,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,9,-63.94746576669972,"{0: 6, 1: 3, 2: 0, 3: 1, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,1.5867069618703766,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,0,-73.89165673707701,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-110.64105235705043,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.6770568744981647}",20,0,-101.06452533646106,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-72.85804597863286,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-131.8421603565708,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,0,2.4925552209391535,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,12,-17.57819556958421,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-27.212417978929516,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-61.034823144438015,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.631283645506926}",25,0,-19.502766048816394,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-74.03468960879502,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-15.378610640934085,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",30,10,-50.87360804913833,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-63.09371029413099,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-8.997697780358449,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,0,-118.82031493439516,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-131.60971219342125,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-22.31047709477046,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-15.483533673466752,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",30,0,-76.83205916739728,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,10,-60.49369659866125,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",25,0,-78.01372121601052,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,0,-48.53603601398977,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-58.08744856603057,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-90.6864701080979,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-8.476136293387366,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,0,-54.26912077958825,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,3,-99.13768330333342,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",35,0,-31.08359758781717,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-12.924891478962317,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,5,-58.41712038219339,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",30,0,-105.63725558334846,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,9,-108.06062214154716,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",30,0,-59.37080606603827,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,3,-26.855603759035578,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.4867522559599717}",30,4,-31.767934595179046,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,14,-9.154249948806884,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,18,-18.33759835418227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,0,-86.1279629544895,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-30.64586058160381,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,0,-45.45786399392233,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,-194.08169504696224,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
80,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,-31.016263108908326,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,0,-57.24251937337775,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,0,-35.93531263717608,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,10,-4.627553440308362,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,0,-1.4848537133481394,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,-25.571242020632397,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,0,8.489738435627473,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.4231620823177488}",25,7,-42.70550385328908,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.418951549247639}",20,11,-29.895198690767817,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,0,1.1726644806316622,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4106557527523455}",20,0,-21.651490918900233,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.4065696597405991}",30,8,-55.78828870300969,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,2,-36.392424244023786,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,7,-16.36844931015716,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,10,-7.447584298533677,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,0,-18.768351403853913,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,0,-80.70235471878563,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.38289288597511206}",35,18,-42.68634324358887,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,6,-40.86564899761896,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",25,16,-28.07565031365845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,0,-116.07958459181546,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,12,-10.589882172546066,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,3,-26.803743129049387,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,7,26.58441729877053,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,13,12.832209654429489,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,14,-9.893333425410173,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",30,0,13.238438500115352,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,16,7.898181102588847,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,0,-5.087584289918464,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,3,-58.8711402724346,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.3362164937067333}",20,10,10.665763819474638,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,0,-53.26611093237814,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,8,26.106818689126474,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,0,5.312226768870456,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,-41.04441848661432,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,19,12.057168495502761,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",30,6,-100.98250201173029,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",35,0,38.66232387037834,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",25,18,-8.746334690753208,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",30,20,12.592704245499128,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",30,11,-14.335374501852481,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,11,7.660043280416776,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,14,3.05024467910763,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",30,4,-51.10594431369877,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",35,15,3.2376434345228087,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",30,21,-3.824017322596816,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,10,17.87765431152515,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,16,5.314759356074163,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,3,12.020511842743266,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,17,14.603931068257763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,17,14.336901820472423,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,18,11.3493392215159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,0,11.127511028464781,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,9,9.847652630160056,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,0,4.353620508240136,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.261845668580326}",20,14,11.448255591635776,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",25,13,12.854700510012874,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",25,8,19.081719804699794,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,17,-58.16358591465052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",25,2,34.08040893542733,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,9,-25.712063735122086,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,10,5.090659759970154,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,3,-60.380501234480924,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,1,-7.220590885579067,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",30,16,-6.102138014179179,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
