trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.0546025188916,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.0062075853849,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.6095529297962,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.4367383611375,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.25248438774815,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-155.29951402626278,"{0: 6, 1: 1, 2: 6, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.89514051677978,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.86684563823242,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.78097604020985,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-253.2448374906211,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.75621020255338,"{0: 13, 1: 6, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.64834802439664,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.920246195784344,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-275.8158227307811,"{0: 12, 1: 9, 2: 4, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.66580715580862,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.81814653692065,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.52853450664493,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.46974968743464,"{0: 8, 1: 3, 2: 4, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.52382238367163,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.07177983654097,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-214.31437728886584,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.27843987703056,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-63.987907324039796,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.37339290885797,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.21803061343387,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,10,-71.59031161148276,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.50386692104604,"{0: 9, 1: 9, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-329.2293986073852,"{0: 10, 1: 5, 2: 8, 3: 2, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.50606828089957,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-196.24762579159267,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
